Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
2425,Exit long,2026-03-18 09:30,NQ09B BUY NY STOP,24927.25,2,997140,-59,-0.01,9,0,0.00,-54.5,-0.01,124337.5,49.74,0
2425,Entry long,2026-03-18 09:30,[CC] BUY NY,24928.5,2,997140,-59,-0.01,9,0,0.00,-54.5,-0.01,124337.5,49.74,0
2426,Exit long,2026-03-18 18:00,NQ09B BUY WEEKDAY 1800 STOP,24621,1,492445,-29.5,-0.01,4.5,122.75,0.02,-27.25,-0.01,124308,49.72,0
2426,Entry long,2026-03-18 18:00,[CC] BUY WEAK,24622.25,1,492445,-29.5,-0.01,4.5,122.75,0.02,-27.25,-0.01,124308,49.72,0
2427,Exit long,2026-03-19 09:30,NQ09B BUY NY STOP,24427.25,2,977140,-59,-0.01,9,25.5,0.00,-54.5,-0.01,124249,49.70,0
2427,Entry long,2026-03-19 09:30,[CC] BUY NY,24428.5,2,977140,-59,-0.01,9,25.5,0.00,-54.5,-0.01,124249,49.70,0
2428,Exit long,2026-03-20 09:30,NQ09B BUY NY STOP,24486.25,2,979500,-59,-0.01,9,145.5,0.01,-54.5,-0.01,124190,49.68,0
2428,Entry long,2026-03-20 09:30,[CC] BUY NY,24487.5,2,979500,-59,-0.01,9,145.5,0.01,-54.5,-0.01,124190,49.68,0
2429,Exit long,2026-03-22 18:00,NQ09B BUY WEEKLY STOP,23901,2,956090,-59,-0.01,9,0,0.00,-54.5,-0.01,124131,49.65,0
2429,Entry long,2026-03-22 18:00,[CC] BUY WEEKLY,23902.25,2,956090,-59,-0.01,9,0,0.00,-54.5,-0.01,124131,49.65,0
2430,Exit long,2026-03-23 09:30,NQ09B BUY NY N130 TP2,24509.5,2,979740,631,0.06,9,635.5,0.06,-14.5,0.00,124762,49.90,0
2430,Entry long,2026-03-23 09:30,[CC] BUY NY,24493.5,2,979740,631,0.06,9,635.5,0.06,-14.5,0.00,124762,49.90,0
2431,Exit long,2026-03-23 18:00,NQ09B BUY WEEKDAY 1800 STOP,24416.25,1,488350,-29.5,-0.01,4.5,42.75,0.01,-27.25,-0.01,124732.5,49.89,0
2431,Entry long,2026-03-23 18:00,[CC] BUY WEAK,24417.5,1,488350,-29.5,-0.01,4.5,42.75,0.01,-27.25,-0.01,124732.5,49.89,0
2432,Exit long,2026-03-24 09:30,NQ09B BUY NY STOP,24253.25,2,970180,-59,-0.01,9,0,0.00,-54.5,-0.01,124673.5,49.87,0
2432,Entry long,2026-03-24 09:30,[CC] BUY NY,24254.5,2,970180,-59,-0.01,9,0,0.00,-54.5,-0.01,124673.5,49.87,0
2433,Exit long,2026-03-24 18:00,NQ09B BUY WEEKDAY 1800 STOP,24419,2,976810,-59,-0.01,9,0,0.00,-54.5,-0.01,124614.5,49.85,0
2433,Entry long,2026-03-24 18:00,[CC] BUY PREMIUM,24420.25,2,976810,-59,-0.01,9,0,0.00,-54.5,-0.01,124614.5,49.85,0
2434,Exit long,2026-03-25 09:30,NQ09B BUY NY STOP,24429.75,2,977240,-59,-0.01,9,0,0.00,-54.5,-0.01,124555.5,49.82,0
2434,Entry long,2026-03-25 09:30,[CC] BUY NY,24431,2,977240,-59,-0.01,9,0,0.00,-54.5,-0.01,124555.5,49.82,0
2435,Exit long,2026-03-26 09:30,NQ09B BUY NY STOP,24155.25,2,966260,-59,-0.01,9,0,0.00,-54.5,-0.01,124496.5,49.80,0
2435,Entry long,2026-03-26 09:30,[CC] BUY NY,24156.5,2,966260,-59,-0.01,9,0,0.00,-54.5,-0.01,124496.5,49.80,0
2436,Exit long,2026-03-26 18:00,NQ09B BUY WEEKDAY 1800 D80,23834.25,2,952970,391,0.04,9,395.5,0.04,-14.5,0.00,124887.5,49.96,0
