Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1313,Entry short,2023-05-04 09:30,[CC] SELL NY,13082.5,2,523300,-59,-0.01,9,0,0.00,-54.5,-0.01,57364,22.95,0
1314,Exit short,2023-05-04 18:00,NQ09B SELL WEEKDAY 1800 STOP,13061,1,261195,-29.5,-0.01,4.5,77.75,0.03,-27.25,-0.01,57334.5,22.93,0
1314,Entry short,2023-05-04 18:00,[CC] SELL WEAK,13059.75,1,261195,-29.5,-0.01,4.5,77.75,0.03,-27.25,-0.01,57334.5,22.93,0
1315,Exit short,2023-05-05 09:30,NQ09B SELL NY N130 TP2,13126.25,2,525560,501,0.10,9,505.5,0.10,-14.5,0.00,57835.5,23.13,0
1315,Entry short,2023-05-05 09:30,[CC] SELL NY,13139,2,525560,501,0.10,9,505.5,0.10,-14.5,0.00,57835.5,23.13,0
1316,Exit short,2023-05-07 18:00,NQ09B SELL WEEKLY STOP,13317,2,532630,-59,-0.01,9,195.5,0.04,-54.5,-0.01,57776.5,23.11,0
1316,Entry short,2023-05-07 18:00,[CC] SELL WEEKLY,13315.75,2,532630,-59,-0.01,9,195.5,0.04,-54.5,-0.01,57776.5,23.11,0
1317,Exit short,2023-05-08 09:30,NQ09B SELL NY STOP,13302,2,532030,-59,-0.01,9,345.5,0.06,-54.5,-0.01,57717.5,23.09,0
1317,Entry short,2023-05-08 09:30,[CC] SELL NY,13300.75,2,532030,-59,-0.01,9,345.5,0.06,-54.5,-0.01,57717.5,23.09,0
1318,Exit short,2023-05-09 09:30,NQ09B SELL NY STOP,13282,2,531230,-59,-0.01,9,65.5,0.01,-54.5,-0.01,57658.5,23.06,0
1318,Entry short,2023-05-09 09:30,[CC] SELL NY,13280.75,2,531230,-59,-0.01,9,65.5,0.01,-54.5,-0.01,57658.5,23.06,0
1319,Exit short,2023-05-10 09:30,NQ09B SELL NY STOP,13367.5,2,534650,-59,-0.01,9,45.5,0.01,-54.5,-0.01,57599.5,23.04,0
1319,Entry short,2023-05-10 09:30,[CC] SELL NY,13366.25,2,534650,-59,-0.01,9,45.5,0.01,-54.5,-0.01,57599.5,23.04,0
1320,Exit short,2023-05-11 09:30,NQ09B SELL NY STOP,13428.25,2,537080,-59,-0.01,9,0,0.00,-54.5,-0.01,57540.5,23.02,0
1320,Entry short,2023-05-11 09:30,[CC] SELL NY,13427,2,537080,-59,-0.01,9,0,0.00,-54.5,-0.01,57540.5,23.02,0
1321,Exit short,2023-05-12 09:30,NQ09B SELL NY STOP,13469,2,538710,-59,-0.01,9,135.5,0.03,-54.5,-0.01,57481.5,22.99,0
1321,Entry short,2023-05-12 09:30,[CC] SELL NY,13467.75,2,538710,-59,-0.01,9,135.5,0.03,-54.5,-0.01,57481.5,22.99,0
1322,Exit short,2023-05-14 18:00,NQ09B SELL WEEKLY W80,13370.5,2,535140,311,0.06,9,315.5,0.06,-14.5,0.00,57792.5,23.12,0
1322,Entry short,2023-05-14 18:00,[CC] SELL WEEKLY,13378.5,2,535140,311,0.06,9,315.5,0.06,-14.5,0.00,57792.5,23.12,0
1323,Exit short,2023-05-15 09:30,NQ09B SELL NY STOP,13417.75,2,536660,-59,-0.01,9,0,0.00,-54.5,-0.01,57733.5,23.09,0
1323,Entry short,2023-05-15 09:30,[CC] SELL NY,13416.5,2,536660,-59,-0.01,9,0,0.00,-54.5,-0.01,57733.5,23.09,0
1324,Exit short,2023-05-16 09:30,NQ09B SELL NY STOP,13437,2,537430,-59,-0.01,9,45.5,0.01,-54.5,-0.01,57674.5,23.07,0
1324,Entry short,2023-05-16 09:30,[CC] SELL NY,13435.75,2,537430,-59,-0.01,9,45.5,0.01,-54.5,-0.01,57674.5,23.07,0
1325,Exit short,2023-05-17 09:30,NQ09B SELL NY STOP,13526,2,540990,-59,-0.01,9,205.5,0.04,-54.5,-0.01,57615.5,23.05,0
1325,Entry short,2023-05-17 09:30,[CC] SELL NY,13524.75,2,540990,-59,-0.01,9,205.5,0.04,-54.5,-0.01,57615.5,23.05,0
1326,Exit short,2023-05-18 09:30,NQ09B SELL NY STOP,13654.75,2,546140,-59,-0.01,9,25.5,0.00,-54.5,-0.01,57556.5,23.02,0
1326,Entry short,2023-05-18 09:30,[CC] SELL NY,13653.5,2,546140,-59,-0.01,9,25.5,0.00,-54.5,-0.01,57556.5,23.02,0
1327,Exit short,2023-05-18 18:00,NQ09B SELL WEEKDAY 1800 STOP,13909.5,2,556330,-59,-0.01,9,0,0.00,-54.5,-0.01,57497.5,23.00,0
1327,Entry short,2023-05-18 18:00,[CC] SELL PREMIUM,13908.25,2,556330,-59,-0.01,9,0,0.00,-54.5,-0.01,57497.5,23.00,0
1328,Exit short,2023-05-19 09:30,NQ09B SELL NY STOP,13899.25,2,555920,-59,-0.01,9,0,0.00,-54.5,-0.01,57438.5,22.98,0
1328,Entry short,2023-05-19 09:30,[CC] SELL NY,13898,2,555920,-59,-0.01,9,0,0.00,-54.5,-0.01,57438.5,22.98,0
1329,Exit short,2023-05-21 18:00,NQ09B SELL WEEKLY W80,13797.25,2,552210,311,0.06,9,315.5,0.06,-14.5,0.00,57749.5,23.10,0
1329,Entry short,2023-05-21 18:00,[CC] SELL WEEKLY,13805.25,2,552210,311,0.06,9,315.5,0.06,-14.5,0.00,57749.5,23.10,0
1330,Exit short,2023-05-22 09:30,NQ09B SELL NY STOP,13849,2,553910,-59,-0.01,9,25.5,0.00,-54.5,-0.01,57690.5,23.08,0
1330,Entry short,2023-05-22 09:30,[CC] SELL NY,13847.75,2,553910,-59,-0.01,9,25.5,0.00,-54.5,-0.01,57690.5,23.08,0
1331,Exit short,2023-05-23 09:30,NQ09B SELL NY STOP,13832,2,553230,-59,-0.01,9,335.5,0.06,-54.5,-0.01,57631.5,23.05,0
1331,Entry short,2023-05-23 09:30,[CC] SELL NY,13830.75,2,553230,-59,-0.01,9,335.5,0.06,-54.5,-0.01,57631.5,23.05,0
1332,Exit short,2023-05-24 09:30,NQ09B SELL NY STOP,13644.25,2,545720,-59,-0.01,9,0,0.00,-54.5,-0.01,57572.5,23.03,0
1332,Entry short,2023-05-24 09:30,[CC] SELL NY,13643,2,545720,-59,-0.01,9,0,0.00,-54.5,-0.01,57572.5,23.03,0
1333,Exit short,2023-05-24 18:00,NQ09B SELL WEEKDAY 1800 STOP,13878,2,555070,-59,-0.01,9,0,0.00,-54.5,-0.01,57513.5,23.01,0
1333,Entry short,2023-05-24 18:00,[CC] SELL PREMIUM,13876.75,2,555070,-59,-0.01,9,0,0.00,-54.5,-0.01,57513.5,23.01,0
1334,Exit short,2023-05-25 09:30,NQ09B SELL NY STOP,13955.75,2,558180,-59,-0.01,9,0,0.00,-54.5,-0.01,57454.5,22.98,0
1334,Entry short,2023-05-25 09:30,[CC] SELL NY,13954.5,2,558180,-59,-0.01,9,0,0.00,-54.5,-0.01,57454.5,22.98,0
1335,Exit short,2023-05-26 09:30,NQ09B SELL NY STOP,14019.5,2,560730,-59,-0.01,9,135.5,0.02,-54.5,-0.01,57395.5,22.96,0
1335,Entry short,2023-05-26 09:30,[CC] SELL NY,14018.25,2,560730,-59,-0.01,9,135.5,0.02,-54.5,-0.01,57395.5,22.96,0
1336,Exit short,2023-05-28 18:00,NQ09B SELL WEEKLY STOP,14438.5,2,577490,-59,-0.01,9,0,0.00,-54.5,-0.01,57336.5,22.93,0
1336,Entry short,2023-05-28 18:00,[CC] SELL WEEKLY,14437.25,2,577490,-59,-0.01,9,0,0.00,-54.5,-0.01,57336.5,22.93,0
1337,Exit short,2023-05-29 10:00,NQ09B SELL NY STOP,14379.25,2,575120,-59,-0.01,9,395.5,0.07,-54.5,-0.01,57277.5,22.91,1
1337,Entry short,2023-05-29 09:30,[CC] SELL NY,14378,2,575120,-59,-0.01,9,395.5,0.07,-54.5,-0.01,57277.5,22.91,1
1338,Exit short,2023-05-30 09:30,NQ09B SELL NY STOP,14511,2,580390,-59,-0.01,9,0,0.00,-54.5,-0.01,57218.5,22.89,0
1338,Entry short,2023-05-30 09:30,[CC] SELL NY,14509.75,2,580390,-59,-0.01,9,0,0.00,-54.5,-0.01,57218.5,22.89,0
1339,Exit short,2023-05-31 09:30,NQ09B SELL NY STOP,14331,2,573190,-59,-0.01,9,225.5,0.04,-54.5,-0.01,57159.5,22.86,0
1339,Entry short,2023-05-31 09:30,[CC] SELL NY,14329.75,2,573190,-59,-0.01,9,225.5,0.04,-54.5,-0.01,57159.5,22.86,0
1340,Exit short,2023-05-31 18:00,NQ09B SELL WEEKDAY 1800 STOP,14290.5,1,285785,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,57130,22.85,0
1340,Entry short,2023-05-31 18:00,[CC] SELL WEAK,14289.25,1,285785,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,57130,22.85,0
1341,Exit short,2023-06-01 09:30,NQ09B SELL NY STOP,14299,2,571910,-59,-0.01,9,0,0.00,-54.5,-0.01,57071,22.83,0
1341,Entry short,2023-06-01 09:30,[CC] SELL NY,14297.75,2,571910,-59,-0.01,9,0,0.00,-54.5,-0.01,57071,22.83,0
