ts_event_utc,ts_recv_utc,price,size,bid,ask,spread_points,quote_state,action,side,flags,sequence,publisher_id,instrument_id,rtype,source_file
2020-03-16 13:45:07.108586713+00:00,2020-03-16 13:45:07.108761714+00:00,7257.25,1,7257.25,7264.0,6.75,VALID,T,A,0,4630591,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.108988203+00:00,2020-03-16 13:45:07.109180544+00:00,7256.5,1,7256.5,7264.0,7.5,VALID,T,A,0,4630595,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.109739647+00:00,2020-03-16 13:45:07.109984735+00:00,7256.5,1,7256.5,7264.0,7.5,VALID,T,A,0,4630600,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.120985247+00:00,2020-03-16 13:45:07.121202933+00:00,7256.5,1,7256.5,7264.0,7.5,VALID,T,A,0,4630631,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.121969849+00:00,2020-03-16 13:45:07.122176745+00:00,7256.5,1,7256.5,7264.0,7.5,VALID,T,A,0,4630637,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.123185151+00:00,2020-03-16 13:45:07.123369297+00:00,7256.5,1,7256.5,7264.0,7.5,VALID,T,A,0,4630650,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.123708569+00:00,2020-03-16 13:45:07.123911835+00:00,7256.5,1,7256.5,7264.0,7.5,VALID,T,A,0,4630659,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.124066397+00:00,2020-03-16 13:45:07.124246464+00:00,7256.5,1,7256.5,7264.0,7.5,VALID,T,A,0,4630666,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.124219187+00:00,2020-03-16 13:45:07.124411669+00:00,7256.5,1,7256.5,7264.0,7.5,VALID,T,A,0,4630668,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.124804317+00:00,2020-03-16 13:45:07.125004567+00:00,7256.5,1,7256.5,7264.0,7.5,VALID,T,A,0,4630673,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.125277639+00:00,2020-03-16 13:45:07.125476101+00:00,7256.5,1,7256.5,7264.0,7.5,VALID,T,A,0,4630679,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.125603095+00:00,2020-03-16 13:45:07.125784622+00:00,7256.5,1,7256.5,7264.0,7.5,VALID,T,A,0,4630682,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.126150481+00:00,2020-03-16 13:45:07.126350672+00:00,7256.5,5,7256.5,7264.0,7.5,VALID,T,A,0,4630689,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.126219943+00:00,2020-03-16 13:45:07.126519489+00:00,7256.5,3,7256.5,7264.0,7.5,VALID,T,A,0,4630692,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.126620859+00:00,2020-03-16 13:45:07.126813034+00:00,7256.5,5,7256.5,7264.0,7.5,VALID,T,A,0,4630694,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.126952485+00:00,2020-03-16 13:45:07.127230264+00:00,7256.5,1,7256.5,7264.0,7.5,VALID,T,A,0,4630699,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
