month,net,scenario
2023-11,3110.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2023-12,809.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2024-01,2155.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2024-02,2335.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2024-03,2070.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2024-04,4981.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2024-05,2412.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2024-06,1793.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2024-07,2838.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2024-08,5636.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2024-09,2830.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2024-10,3884.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2024-11,3180.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2024-12,8776.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2025-01,5104.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2025-02,4744.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2025-03,10309.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2025-04,8343.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2025-05,6489.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2025-06,6009.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2025-07,2192.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2025-08,2911.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2025-09,1096.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2025-10,4501.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2025-11,8925.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2025-12,6299.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2026-01,11146.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2026-02,9240.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2026-03,9378.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2026-04,9405.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2026-05,11312.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2026-06,9917.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2026-07,13921.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2020-01,-505.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2020-02,2214.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2020-03,6707.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2020-04,4850.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2020-05,2159.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2020-06,2774.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2020-07,4941.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2020-08,325.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2020-09,5853.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2020-10,2823.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2020-11,4701.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2020-12,768.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2021-01,2638.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2021-02,4105.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2021-03,4006.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2021-04,1401.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2021-05,1351.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2021-06,471.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2021-07,1153.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2021-08,611.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2021-09,4242.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2021-10,4928.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2021-11,3143.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2021-12,3612.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2022-01,7903.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2022-02,5040.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2022-03,6436.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2022-04,3378.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2022-05,7551.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2022-06,7194.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2022-07,7658.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2022-08,4860.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2022-09,2763.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2022-10,3591.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2022-11,3518.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2022-12,3680.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2023-01,3469.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2023-02,677.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2023-03,2104.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2023-04,1458.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2023-05,226.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2023-06,4354.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2023-07,5139.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2023-08,3537.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2023-09,3617.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2023-10,3409.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2023-11,2810.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2023-12,564.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2024-01,1850.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2024-02,2030.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2024-03,1770.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2024-04,4671.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2024-05,2092.0,CONTROL_DERIVED_2T_ENTRY_SLIP
