side,Trade number,route,entry_dt,exit_dt,net,points,at_route_cap,exit_bar_utc,authority_files_overlapping_exit_bar,full_5m_covered,full_30m_covered,best_authority_rank
BUY,539,NY,2021-04-23 09:30:00,2021-04-23 09:30:00,501.0,12.75,False,2021-04-23T13:30:00+00:00,0,False,False,0
BUY,546,NY,2021-04-29 09:30:00,2021-04-29 09:30:00,501.0,12.75,False,2021-04-29T13:30:00+00:00,0,False,False,0
BUY,551,NY,2021-05-04 09:30:00,2021-05-04 09:30:00,501.0,12.75,False,2021-05-04T13:30:00+00:00,0,False,False,0
BUY,553,WEAK,2021-05-05 18:00:00,2021-05-05 18:00:00,155.5,8.0,False,2021-05-05T22:00:00+00:00,0,False,False,0
BUY,560,NY,2021-05-11 09:30:00,2021-05-11 09:30:00,501.0,12.75,False,2021-05-11T13:30:00+00:00,0,False,False,0
BUY,562,PREMIUM,2021-05-12 18:00:00,2021-05-12 18:00:00,311.0,8.0,False,2021-05-12T22:00:00+00:00,0,False,False,0
BUY,568,WEAK,2021-05-18 18:00:00,2021-05-18 18:00:00,155.5,8.0,False,2021-05-18T22:00:00+00:00,0,False,False,0
BUY,572,NY,2021-05-21 09:30:00,2021-05-21 09:30:00,501.0,12.75,False,2021-05-21T13:30:00+00:00,0,False,False,0
BUY,573,WEEKLY,2021-05-23 18:00:00,2021-05-23 18:00:00,311.0,8.0,False,2021-05-23T22:00:00+00:00,0,False,False,0
BUY,606,NY,2021-06-21 09:30:00,2021-06-21 09:30:00,501.0,12.75,False,2021-06-21T13:30:00+00:00,0,False,False,0
BUY,626,WEEKLY,2021-07-11 18:00:00,2021-07-11 18:00:00,311.0,8.0,False,2021-07-11T22:00:00+00:00,0,False,False,0
BUY,635,NY,2021-07-19 09:30:00,2021-07-19 09:30:00,501.0,12.75,False,2021-07-19T13:30:00+00:00,0,False,False,0
BUY,641,NY,2021-07-22 09:30:00,2021-07-22 09:30:00,501.0,12.75,False,2021-07-22T13:30:00+00:00,0,False,False,0
BUY,681,NY,2021-08-26 09:30:00,2021-08-26 09:30:00,501.0,12.75,False,2021-08-26T13:30:00+00:00,0,False,False,0
BUY,685,NY,2021-08-30 09:30:00,2021-08-30 09:30:00,501.0,12.75,False,2021-08-30T13:30:00+00:00,0,False,False,0
