trade_number,entry_time,route_class,q,label,buy_net,sell_net,pair_net,action,prob_buy,prob_sell,expected_buy,expected_sell,rf_action,static_action,month,probability_margin,chosen_expected_edge,rf_net_0t,static_net_0t,delta_rf_minus_static_0t,rf_net_1t,static_net_1t,delta_rf_minus_static_1t,rf_net_2t,static_net_2t,delta_rf_minus_static_2t,rf_net_4t,static_net_4t,delta_rf_minus_static_4t,relationship,rf_outcome,static_outcome,rf_label_match,static_label_match
2378,2026-02-04 09:30:00,NY,2.0,SKIP,-59.0,-59.0,-118.0,BUY,0.3914876112654035,0.3595249676529555,211.1264517731284,189.0722276805393,BUY,SELL,2026-02,0.031962643612447994,211.1264517731284,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,OPPOSITE_DIRECTION,LOSS,LOSS,False,False
2379,2026-02-04 18:00:00,WEEKDAY_PREMIUM,2.0,SKIP,-59.0,-59.0,-118.0,BUY,0.3953554492273431,0.3657629198865744,118.9099521523044,105.5933139489585,BUY,BUY,2026-02,0.029592529340768725,118.9099521523044,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2380,2026-02-05 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,SELL,0.3356315714845817,0.4047346614737098,172.58578432436138,220.26691641685971,SELL,SELL,2026-02,0.06910308998912806,220.26691641685971,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2381,2026-02-05 18:00:00,WEEKDAY_PREMIUM,2.0,SELL,-59.0,391.0,332.0,BUY,0.547673668338723,0.2637863893414652,187.45315075242536,59.70387520365937,BUY,BUY,2026-02,0.2838872789972578,187.45315075242536,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2382,2026-02-06 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,SELL,0.3495222189053308,0.3663927162115237,182.17033104467828,193.81097418595132,SELL,SELL,2026-02,0.01687049730619289,193.81097418595132,631.0,631.0,0.0,621.0,621.0,0.0,611.0,611.0,0.0,591.0,591.0,0.0,SAME_ACTION,WIN,WIN,True,True
2383,2026-02-08 18:00:00,WEEKLY,2.0,BUY,391.0,-59.0,332.0,BUY,0.4153310862107608,0.3612663552306739,127.89898879484238,103.56985985380324,BUY,BUY,2026-02,0.054064730980086906,127.89898879484238,391.0,391.0,0.0,381.0,381.0,0.0,371.0,371.0,0.0,351.0,351.0,0.0,SAME_ACTION,WIN,WIN,True,True
2384,2026-02-09 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,SELL,0.3211927545736756,0.3248731623330051,162.6230006558362,165.16248200977356,SELL,SELL,2026-02,0.0036804077593295403,165.16248200977356,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2385,2026-02-10 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,SELL,0.2811493225773296,0.3079405391430879,134.9930325783575,153.4789720087307,SELL,SELL,2026-02,0.02679121656575828,153.4789720087307,631.0,631.0,0.0,621.0,621.0,0.0,611.0,611.0,0.0,591.0,591.0,0.0,SAME_ACTION,WIN,WIN,True,True
2386,2026-02-11 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,SELL,0.2543298421009883,0.420313872249857,116.48759104968198,231.0165718524014,SELL,SELL,2026-02,0.1659840301488687,231.0165718524014,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2387,2026-02-12 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3599974404220842,0.2656964883748696,189.3982338912381,124.33057697866003,BUY,SELL,2026-02,0.09430095204721461,189.3982338912381,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
